Table 1
Software/Algorithm	Year	Description/purpose	Reference sequence free	Comment/Highlight	Software category/ Topic	Input/Output data type	Included in last benchmark	Doi	PubmedID
CoCoNet	2021	Deep learning tool for Viral Metagenome Binning	Yes	Reconstucts viral genomes	MAG binning	Contigs, coverge (read map) /Bins	NA	10.1093/bioinformatics/btab213	33822891
Binnacle	2021	Using scaffolds to improve Metagenomic bin quality	Yes	Incorporates scaffold information	MAG binning-refiner*	Contigs, coverage, bins/scaffold level bins 	NA	10.3389/fmicb.2021.638561	33717033
VAMB	2021	Metagenome binning using deep variational autoencoders	Yes	Autoencoder algorithm, fast processing 	MAG binning	Assembled contigs/ bins ANI 80	Yes	10.1038/s41587-020-00777-4	33398153
phyloFlash	2020	ssrRNA profiling and MAG assembly	No	incorporates ssrRNA profiling info into MAG assembly	SSU rRNA assembly/ connect SSUrRNA to MAG	Reads and reference database/ Assembled ssrRNA	NA	10.1128/mSystems.00920-20	33109753
MetaBCC-LR	2020	Metagenomic binning for Long-Reads	Yes	Suitable for Long Reads sequencing technology	LongReads binning	Long reads/ Bin identifier for each read	NA	10.1093/bioinformatics/btaa441	32657364
BioBloom Tools	2020	Reads binning for targeted assembly, alignment free	No	Data preparation for targeted assembly, using space seeds	Reads binning	Reads and reference sequence	NA	10.1073/pnas.1903436117	32641514
?	2020	Binning unassembled short reads based on k-mer abundance covariance	Yes	Data preparation for targeted assembly, low abundance species	Reads binning		NA		32219339
GraphBin	2020	Refined binning of metagenomic contigs using assembly graphs		Incorporates assembly graphs information	MAG binning-refiner*		No	10.1093/bioinformatics/btaa180	32167528
MetaSIPSim	2020	Simulating metagenomic stable isotope probing datasets	NA	Augment binning resolution with extra experimental data	Data Simulation/ DNA-SIP		NA	10.1186/s12859-020-3372-6	32000676
MetaCon	2019	Unsupervised binning k-mers and coverage, focus on contigs of different lenghts		Focus different lengths contigs	MAG binning		No	10.1186/s12859-019-2904-4	31757198
VirBin	2019	Binning viral haplotypes from assembled contigs		Viral haplotypes MAGs	Haplotype/MAG binning*			10.1186/s12859-019-3138-1	31684876
 MAGO (*only tool pipeline)	2019	Framework for Production and analysis of MAGs		pipeline	MAG binning-refiner pipeline			10.1093/molbev/msz237	31633780
SeqDex	2019	Genome separation of Endosymbionts from mixed sequencing samples		Identification of endosymbiont	MAG binning*			10.3389/fgene.2019.00853	31608107
MetaTOR	2019	High quality MAGs from mammalian guts using meta3C libraries		Incorporates 3D contact information	MAG binning			10.3389/fgene.2019.00753	31481973
MetaBAT 2	2019	Adatptative binning algorithm for genome reconstruction from metagenome assemblies		Eliminates manual parameter tuning from previous version	MAG binning		Yes, Similar results as GroopM2	10.7717/peerj.7359	31388474
MetaBMF	2019	Scalable binning algorithm for large scale metagenomic studies, for species and strain level		Employs sample X contigs cf mapped read counts	MAG binning			10.1093/bioinformatics/btz577	31347687
PolyCRACKER	2019	Method for partitioning polyploid sub genomes by signatures of repetitive DNA evolution		Haplotypes for polyploid genomes	Haplotype binning			10.1186/s12864-019-5828-5	31299888
SolidBin	2019	Improving metagenome binning with semi-supervised normalized cut			MAG binning		Yes	10.1093/bioinformatics/btz253	30977806
Autometa	2019	extraction of microbial genomes from individual shotgun metagenomes.		Handles eukaryotic contamination	MAG binning / pipeline		Yes	10.1093/nar/gkz148	30838416
MLBP MrGBP (Algorithm)	2019	Signal processing method for alignment free metagenomic binning		Alternative description of sequences designed for noisy data	MAG binning*			10.1038/s41598-018-38197-9	30770850
CLAME	2018	Aligment based algorithm allowed description of novel species	No	Aligment  based for reads	Reads binning*			10.1186/s12864-018-5191-y	30537931
3D BH SNE (Algorithm)	2018	Fuzzy binning of metagenomic sequence fragments		Horizontal gene transfer and regions of uncertain assigment	MAG binning /Fuzzy binning			10.1109/EMBC.2018.8512529	30440633
LVQ-KNN	2018	Composition based RNA or DNA binning of short sequences		Classify into DNA or RNA sequence	Reads binning			10.1016/j.virusres.2018.10.002	30291874
MSPminer	2018	Abundance based reconstitution of microbial pan-genomes from metagenomic data		Pan genome reconstitution	MSP binning			10.1093/bioinformatics/bty830	30252023
MetaWRAP*	2018	Flexible pipeline for genome resolved metagenomic data analysis		Hybrid bin extraction algorithm	MAG binning-refiner pipeline		Yes	10.1186/s40168-018-0541-1	30219103
MetaVW	2018	Large scale Machine Learning Sequence classification		Machine learning for reads based on Khmer profile	Reads binning			10.1007/978-1-4939-8561-6_2	30030800
Opal (algorithm*)	2018	Metagenomic binning through low density binning		Improvement at higher taxonomic levels, discovery of new lineages	MAG binning			10.1093/bioinformatics/bty611	30010790
BMC3C	2018	Binning contigs using codon usage sequence composition and read coverage		Add codon usage information	MAG binning		Yes	10.1093/bioinformatics/bty519	29947757
AMBER tool	2018	Assessment of Metagenme Binners			Benchmark tool for binning software			10.1093/gigascience/giy069	29893851
DAS Tool	2018	Derreplication aggregation and scoring strategy		Combines several binning algorithm results	MAG binning-refiner		Yes, returned the most high quality bins from benchmark	10.1038/s41564-018-0171-1	29807988
MEGAN-LR	2018	Long Read/ contigs taxonomic binning 	No	Aligment of long reads against reference sequences				10.1186/s13062-018-0208-7	29678199
CoMet	2018	Binning workflow using contain coverage and composition		Single sample, include gc content  and 4mer frequency	MAG binning			10.1186/s12859-017-1967-3	29297295
?	2017	Metagenomic binning and association of plasmids with bacterial host genomes using DNA methylation		Plasmid banning at strain level using methylation barcode in single molecule sequences	MAG binning			10.1038/nbt.4037	29227468
MetaGen	2017	reference-free learning with multiple metagenomic samples		Requires multiple samples	MAG binning			10.1186/s13059-017-1323-y	28974263
d2sBin add onn	2017	Improved formula for calculate oligonucleotide sequence dissimilaritu		Math formula to calculate oligo sequence dissimilarity	NA, only formula for dissimilarity			10.1186/s12859-017-1835-1	28931373
